Region,non_ruminants_rcp4.5,non_ruminants_rcp8.5,browser_rcp4.5,browser_rcp8.5,SNSBrowsers_rcp4.5,SNSBrowsers_rcp8.5,mixed_feeder_rcp4.5,mixed_feeder_rcp8.5,grazer_rcp4.5,grazer_rcp8.5,elephant_rcp4.5,elephant_rcp8.5
East Africa,7.835917018,14.41844896,0,2.0980377,-0.000100017,0.001431882,0.48948479,0.57075119,-3.400161743,-4.264846802,350.8826294,221.1309815
East Africa,-38.96600767,-36.66457224,-10.6794738,-10.6794738,0.00151217,0.001829028,2.03253556,1.34014893,-452.0163269,-451.9527283,0,0
East Africa,-10.66149927,-5.072067498,0,0,0.147653699,0.256881834,1.15550613,0.60364532,-4.612904787,-9.006428957,0,0
Central Africa,-39.95039747,-24.53265955,-11.1927948,-11.1927948,0.146142006,0.277862906,1.84717942,2.13365555,-322.9346313,-321.2766724,0,0
Central Africa,-41.59625284,-40.30587054,-48.48504595,23.11329694,0,0,0,0,-841.981081,-839.8417683,-583.4271316,-529.3224258
Central Africa,-52.5955858,-43.02674576,-11.1927796,-11.1927796,0.14732492,0.14830941,1.80781746,2.00523186,-827.7088928,-812.9471397,-1964.200928,-1491.875
Central Africa,-49.71991069,-44.71595861,-11.1927795,-11.1927795,0.147436739,0.147536755,1.92584991,1.9960823,-832.0488739,-827.7802277,-605.8403168,-673.9617212
Central Africa,-50.68538479,-44.72566506,-10.6794739,-10.6794739,0,0,1.59086799,1.71128273,-813.6659393,-820.1334991,-375.3552704,-247.263443
Southern Africa,3.27475353,-1.88552092,43.59912116,-22.45811459,0.001107097,0.001107097,3.103000637,2.858879085,42.06081777,31.59770584,-711.571289,-592.765136
East Africa,-91.73187922,-88.1446905,-3.627221548,89.89187197,0,0,-14.69270134,0.936029432,-675.4700584,-647.69347,1959.839417,1377.065003
Central Africa,-14.65526573,-15.76805873,-12.59384155,-12.59384155,0.00129497,0.00129497,0.90528869,0.90528869,-4.527743333,-2.013827317,0,0
Southern Africa,0.2615357,-4.3864517,3.364578246,3.22180176,0,0,0,0,0,0.820792203,0,0
Southern Africa,0,0.25286484,6.10190391,16.37141228,0,0,0,0,-0.93654442,-2.2834673,0,0
Central Africa,-38.35038573,-24.29801178,-40.94358825,-40.94358825,0.147437096,0.147437096,1.60368347,1.62576675,-132.9416084,-132.9416084,437.3163147,-285.1011582
Southern Africa,-0.6547699,5.313736,2.089722157,-48.04279232,0.014999941,0.40048568,0,0,0.167305946,0.033898354,-636.325195,1931.294434
Southern Africa,-1.5839386,1.07412719,-15.67902565,-16.45366622,0.146141887,0.146141887,0,0,-79.5815773,-79.5815773,562.7382204,-250.187439
Southern Africa,12.02598571,53.87176514,4.4982299,5.2524414,0.016844154,0.016844154,0,0,0.45352173,0.16113281,-1624.97266,559.80371
Southern Africa,20.2606926,36.73937607,-0.812846976,-2.744985406,0.006551385,0.006976604,11.54853058,0,0,0,-629.22559,726.42383
East Africa,-92.1571894,-91.66011723,5.095843224,-0.269627778,0.001220345,0.001220345,-13.41637802,1.50963784,56.89679527,65.65514565,1307.293945,194.303955
Southern Africa,17.72385788,62.40650559,4.49823,6.2394562,0,0,14.56447792,10.40542793,12.53169632,11.40588189,-302.244141,-676.389649
Southern Africa,-45.97938921,-43.33112337,-14.61394548,-0.424779895,0,0,-11.67707062,-5.826547625,-360.9999087,-369.1945689,-2118.74707,-3373.95166
Southern Africa,-11.78772164,33.70181083,-9.719694619,-4.840450819,0,0,13.88132811,4.011050701,-3.939109326,-4.818270201,-145.368164,-681.719238
Southern Africa,21.43974733,26.74594067,2.988845816,56.72515869,0,0,0,0.026268005,-11.77839756,-28.05881119,-1688.748047,-1707.539063
Southern Africa,4.723000462,-34.82946875,-6.441082951,30.58130742,0.135848015,0.246097952,0,0,10.57248688,15.66405964,-333.0900877,2251.852905
Southern Africa,22.09078697,36.04829792,3.940849304,16.25868988,0,0,0,0,7.84994125,56.88462639,758.203857,2607.950195
Southern Africa,10.87243659,2.96244054,2.459650078,6.642351192,0,0,0,0,-64.67752314,-227.7384515,-2107.176758,-1014.099121
Southern Africa,32.03452306,62.46095276,6.721559522,-1.89266017,0.009489536,0.009489536,0,0,0,0,-129.5484161,51.67037203
Southern Africa,20.97533416,22.48339271,-11.21998845,-11.34458593,0,0,4.162670612,-0.727319241,-1.893139362,10.39464188,-700.726562,-1506.338867
Southern Africa,-33.5752151,-34.19073844,-35.42278004,-4.396506308,0.146141514,0.234729566,0,0,4.56378937,4.74832154,-234.335144,-376.0682068
Southern Africa,-2.5910721,7.2236481,-18.14466453,-3.226762059,0.001107097,0.00273335,0,0,-10.97720337,-69.39190674,110.1000365,1867.68451
Southern Africa,1.905093677,5.895915507,5.676190854,6.811414242,0,0,0,0,-1.370178223,-0.657592773,50.5377804,516.6864014
Southern Africa,4.630558256,1.203526736,6.206566334,28.81454706,0,0.19545889,0,0,8.987023653,-18.18378115,573.9616089,2342.828736
Southern Africa,-30.2431182,4.0265961,-3.2823487,-2.5281372,0,0,0.792031292,1.265383719,-0.75329018,25.52201843,-88.884521,329.351563
Southern Africa,-39.65071015,-35.4363833,-31.25052739,-36.77144195,0,0,0.316300869,-4.184905528,-171.9125185,-229.2048798,-1734.3164,-4723.34375
East Africa,-88.95869206,-90.22375631,15.13412365,6.661797617,0.001697898,0.001697898,1.15864182,0.42561532,0,0,30.5164185,-19.2744141
Southern Africa,-24.54026982,-17.76427075,-11.8503146,-12.45982167,0,0,1.13822937,-4.116384506,-62.23980713,-75.17980957,-349.316406,316.283692
Southern Africa,-44.41011333,-35.84894943,-7.066104889,12.62992763,0,0,3.47559833,3.59115123,0,0,-698.434448,-845.8407593
Southern Africa,10.67236614,-9.421204577,10.79792213,26.96124172,0,0,0,0,-2.337453127,-12.639786,-2326.680664,562.456054
Southern Africa,-39.61888766,-34.65565943,-24.32900069,-18.59658549,0,0,-12.66529465,-12.01911163,-171.5640726,-183.8691683,-1146.814453,-2429.965332
East Africa,-132.5273838,-116.408231,-12.377533,-11.975235,0.00129497,0.00129497,-2.47006225,-3.23462677,-800.1463912,-814.3388808,-319.079468,-1487.391815
East Africa,-115.2897945,-100.6051579,-11.1927948,-10.7904968,0.00129497,0.00129497,-3.94610405,-4.47547531,-734.8202362,-746.5656738,396.2406006,-898.6259766
Southern Africa,-94.50191502,-94.29436497,-19.77227406,-17.79663472,0,0,-4.68777084,-4.32317734,-351.6752319,-353.5352173,152.1740723,-1466.297058
East Africa,-59.29935842,-8.8583832,-5.62414098,0.017978433,0,0,0,0,0,0,0,0
Southern Africa,-46.7588806,-46.908371,-9.012023908,-9.086166308,-0.215828419,-0.156221867,0,0,-136.2065583,-160.7396584,414.364746,-250.753418
Southern Africa,3.4260101,-8.9885177,-8.4748981,3.08103013,0,0,0,0,0.092748642,-14.25370598,-1021.217346,414.690064
Southern Africa,-56.58708189,-78.27782061,-40.0451813,-70.71332933,0.306468904,0.310336888,0,0,0,0,0,0
Southern Africa,-9.13864621,0.73701469,-26.62388596,27.63733593,0.00129497,0.00129497,-15.8718357,-1.263185499,-364.317688,-364.317688,0,0
